,Name,Medals
351,Nataliya Valeryevna Khoronenko-Mikhnevich,1
352,Irina Aleksandrovna Khudoroshkina,1
353,Faith Chepngetich Kibiegon,1
354,Maria Theresia Kiesl (Stbich-),1
355,Eliud Kipchoge,3
356,Wilson Kosgei Kipketer,2
357,Stephen Arusei Kipkorir Anyim,1
358,Asbel Kipruto Kiprop,1
359,Stephen Kiprotich,1
360,Wilson Kipsang Kiprotich,1
361,Brimin Kiprop (Firmin-) Kipruto,2
362,Conseslus Kipruto,1
363,Moses Kipkore Kiptanui,1
364,Sally Jepkosgei Kipyego,1
365,Sergey Aleksandrovich Kirdyapkin,1
366,Abel Kirui,1
367,Eunice Jepkirui Kirwa,1
368,Yoshihide Kiryu,1
369,Linda Kisabaka (-Iwan),1
370,Balzs Kiss,1
371,Timothy Kitum,1
372,Hyvin Kiyeng Jepkemoi,1
373,Nadine Kleinert-Schmitt,1
374,Carolina Evelyn Klft,1
375,Sergey Petrovich Klyugin,1
376,Bianca Knight,1
377,Paul Kipsiele Koech,1
378,Micah Kemboi Kogo,1
379,Sara Kolak,1
380,Yevgeniya Nikolayevna Kolodko,1
381,Pauline Konga,1
382,Robert Marek Korzeniowski,4
383,Reuben Seroney Kosgei,1
384,"Stefka Georgieva Kostadinova (-Petrova, -Popovasileva)",1
385,Olga Ivanovna Kotlyarova,1
386,Tatyana Vladimirovna Kotova,2
387,"Joseph Mathias ""Joe"" Kovacs",1
388,Zoltn Kvg,1
389,Ainrs Kovals,1
390,Primo Kozmus,2
391,Olesya Aleksandrovna Krasnomovets (-Forsheva),1
392,Andrey Sergeyevich Kravchenko,1
393,"Inesa Mykolavna Kravets (Shuliak-, -Izvachuk)",1
394,Antonina Vladimirovna Krivoshapka,1
395,Frantz Kruger,1
396,Larisa Nikolayevna Kruglova,1
397,Oleksandr Volodymyrovych Krykun,1
398,Astrid Kumbernuss,2
399,Olga Sergeyevna Kuzenkova,2
400,"Erik Kynard, Jr.",1
401,Du'aine Ladejo (Thorne-),1
402,Bernard Kipchirchir Lagat,2
403,Brahim Lahlafi,1
404,Alessandro Lambruschini,1
405,Nancy Jebet Langat,1
406,Yelena Anatolyevna Lashmanova,1
407,Inna Aleksandrovna Lasovskaya,1
408,Renaud Lavillenie,2
409,Tayna Lawrence,3
410,Tatyana Romanovna Lebedeva,5
411,Lee Bong-Ju,1
412,Christophe Alexandre Christian Lematre,2
413,Deon Christopher Lendore,1
414,Brian M. Lewis,1
415,"Frederick Carlton ""Carl"" Lewis",1
416,Denise Lewis,2
417,Mark Anthony Lewis-Francis,1
418,Li Yanfeng,1
419,Feyisa Lilesa,1
420,Iryna Anatolivna Lishchynska (Nedelenko-),1
421,Lyudmila Anatolyevna Litvinova,1
422,Liu Hong,1
423,Liu Xiang,1
424,Andria Lloyd,1
425,Shereefa Lloyd,2
426,Thomas Pkemei Longosiwa,1
427,Priscilla Lopes-Schliep,1
428,Lu Xiuzhi,1
429,Yevgeniy Yuryevich Lukyanenko,1
430,Tatyana Viktorovna Lysenko (-Beloborodova),1
431,"Timothy ""Tim"" Mack",1
432,Tianna Madison-Bartoletta,3
433,Maurren Higa Maggi,1
434,Tomasz Majewski,2
435,Sergey Aleksandrovich Makarov,2
436,Taoufik Makhloufi,3
437,"Maicel Donee Malone (-Wallace, -Trapp)",1
438,"Ronell Joshua ""Josh"" Mance",1
439,Vronique Mang,1
440,Mirela Maniani-Tzelili,2
441,"Leonel Ernesto ""Leo"" Manzano",1
442,Hanna Emilie Marin,1
443,Tereza Moncheva Marinova,1
444,Ilya Vladislavovich Markov,1
445,"Michael Lawrence ""Mike"" Marsh",1
446,Roxbert Martin,1
447,Joan Lino Martnez Armenteros,1
448,Manuel Martnez Gutirrez,1
449,Anita Mrton,1
450,Germaine Mason,1
451,Valent Massana Gracia,1
452,Kelly Massey,1
453,Svetlana Aleksandrovna Masterkova,2
454,Richard Kipkemboi Mateelong,1
455,Samuel Matete,1
456,Michael Walter Mathieu,3
457,Peter Matthews,1
458,Fiona Winsome Marcia May (-Iapichino),2
459,Anthuan Maybank,1
460,Kvin Mayer,1
461,Freddy Santiago Mayola Fernndez,1
462,Piotr Maachowski,2
463,Franoise Mbango Etone,2
464,Eliza McCartney,1
465,Francena Lynette McCorory,2
466,Beverly McDonald (-Stewart),3
467,Michael L. McDonald,2
468,Rusheen McDonald,1
469,Danny D. McFarlane,2
470,Troy McIntosh,1
471,Anneisha McLaughlin-Whilby,1
472,Sally McLellan-Pearson,2
473,Louise McPaul-Currey,1
474,Stephenie Ann McPherson,1
475,Tony McQuay,2
476,Mahiedine Mekhissi-Benabbad,3
477,Osleidys Menndez Sez,2
478,Oksana Vladimirovna Menkova,1
479,Nouria Mrah-Benida,1
480,Aries D'Andre Merritt,1
481,LaShawn Merritt,4
482,Katharine Merry,1
483,Assefa Mezgebu,1
484,Yelena Sergeyevna Migunova,1
485,Jearl Atawa Miles-Clark,2
486,Coby Miller,1
487,Inger Z. Miller,1
